DEFENSIVE STOCKS DURING ELECTION CRASH - NIFTY 500,,,,,
,,,,,
"Stock Screener, Technical Analysis Scanner",,,,,
Sr.,Stock Name,Symbol,% Chg,Price,Volume
301,Dabur India Limited,DABUR,6%,578.20,"17,458,506"
96,Hindustan Unilever Limited,HINDUNILVR,6%,"2,496.30","7,826,048"
44,Avenue Supermarts,DMART,5%,"4,548.75","1,093,378"
85,Colgate Palmolive (india) Limited,COLPAL,5%,"2,809.75","1,058,943"
292,Marico Limited,MARICO,3%,614.55,"9,095,613"
172,Godrej Consumer Products Limited,GODREJCP,3%,"1,348.45","2,052,727"
97,Nestle India Limited,NESTLEIND,3%,"2,427.75","1,558,531"
36,Britannia Industries Limited,BRITANNIA,3%,"5,325.10","989,039"
37,Hero Motocorp Limited,HEROMOTOCO,3%,"5,310.70","1,945,233"
268,Sun Tv Network Limited,SUNTV,2.9%,692.10,"3,890,075"
121,United Breweries Limited,UBL,3%,"1,925.75","910,113"
79,Pidilite Industries Limited,PIDILITIND,2.6%,"3,062.20","713,025"
250,Max Healthcare Institute Ltd,MAXHEALTH,2%,780.75,"3,974,176"
194,United Spirits Limited,MCDOWELL-N,2%,"1,204.00","2,908,958"
208,TATA Consumer Products Ltd,TATACONSUM,2%,"1,087.00","3,223,165"
6,Abbott India Limited,ABBOTINDIA,1%,"26,292.25","31,555"
290,Suven Pharmaceuticals Ltd,SUVENPHAR,1%,618.20,"304,741"
201,Ipca Laboratories Limited,IPCALAB,1%,"1,139.85","1,033,914"
9,Procter & Gamble Hygiene And Health Care Limited,PGHH,1%,"16,190.25","7,491"
226,UTI Asset Management Company Ltd,UTIAMC,1%,935.25,"426,376"
3,Page Industries Limited,PAGEIND,1%,"36,723.95","39,899"
245,K.p.r. Mill Limited,KPRMILL,1%,810.65,"394,864"
126,Krishna Institute of Medical Sciences Ltd,KIMS,1%,"1,847.05","89,528"
155,Cipla Limited,CIPLA,0.7%,"1,462.55","2,049,577"
57,Crisil Limited,CRISIL,1%,"4,069.30","60,677"
300,Bikaji Foods International Ltd,BIKAJI,1%,578.55,"748,379"
88,Torrent Pharmaceuticals Limited,TORNTPHARM,0.6%,"2,694.00","328,146"
65,Tata Consultancy Services Limited,TCS,0%,"3,715.00","3,395,997"
247,Godrej Industries Limited,GODREJIND,0%,793.15,"490,751"
339,Tamilnad Mercantile Bank Ltd,TMB,0%,458.85,"220,113"
66,Aia Engineering Limited,AIAENG,0%,"3,688.50","100,214"
144,Blue Star Limited,BLUESTARCO,0%,"1,601.65","1,098,138"
329,Jubilant Foodworks Limited,JUBLFOOD,0%,498.25,"6,226,450"
53,Divi's Laboratories Limited,DIVISLAB,0%,"4,324.15","847,809"
30,Apollo Hospitals Enterprise Limited,APOLLOHOSP,0%,"5,845.70","642,000"
366,Jyothy Laboratories Limited,JYOTHYLAB,0%,393.35,"1,644,225"
244,Home First Finance Company India Ltd,HOMEFIRST,0%,815.60,"249,126"
83,Asian Paints Limited,ASIANPAINT,0%,"2,857.65","2,683,847"
43,LTI Mindtree Ltd,LTIM,-0.4%,"4,630.65","683,878"
230,Eris Lifesciences,ERIS,0%,910.45,"161,244"
191,Tech Mahindra Limited,TECHM,0%,"1,239.30","2,471,911"
161,Sapphire Foods India Ltd,SAPPHIRE,-0.5%,"1,415.70","567,477"
327,Sonata Software Limited,SONATSOFTW,-1%,501.00,"806,491"
275,Syngene International Limited,SYNGENE,-1%,662.10,"882,983"
51,Fine Organic Industries Ltd,FINEORG,-1%,"4,370.65","44,666"
103,Mphasis Limited,MPHASIS,-1%,"2,275.50","514,594"
76,Titan Company Limited,TITAN,-1%,"3,238.95","2,934,800"
178,Hcl Technologies Limited,HCLTECH,-1%,"1,303.55","5,447,244"
215,Vedant Fashions Ltd,MANYAVAR,-1%,"1,032.60","400,785"
165,Infosys Limited,INFY,-1%,"1,393.65","13,736,134"
50,Sundaram Finance Limited,SUNDARMFIN,-1%,"4,398.15","262,944"
32,Dr. Reddy's Laboratories Limited,DRREDDY,-1%,"5,730.80","657,435"
286,Emami Limited,EMAMILTD,-1%,628.35,"2,971,089"
305,Ccl Products (india) Limited,CCL,-1%,573.20,"202,632"
13,Bajaj Auto Limited,BAJAJ-AUTO,-1%,"9,246.75","738,601"
41,Coforge (Niit Tech),COFORGE,-1%,"4,966.95","626,042"
18,Bajaj Holdings & Investment Limited,BAJAJHLDNG,-1%,"7,933.45","40,557"
206,Cholamandalam Financial Holdings Ltd,CHOLAHLDNG,-1%,"1,095.25","334,059"
258,Five Star Business Finance Ltd,FIVESTAR,-1%,740.60,"1,502,752"
90,Dr. Lal Path Labs Ltd.,LALPATHLAB,-1%,"2,644.50","241,170"
22,Gillette India Limited,GILLETTE,-1%,"7,123.05","28,631"
147,Lupin Limited,LUPIN,-1%,"1,564.75","1,709,096"
111,Eclerx Services Limited,ECLERX,-1%,"2,163.25","75,730"
40,Bayer Cropscience Limited,BAYERCROP,-1%,"5,098.95","21,564"
354,Wipro Limited,WIPRO,-1%,438.15,"8,865,366"
114,Mankind Pharma Ltd,MANKIND,-1%,"2,096.15","585,126"
34,Info Edge (india) Limited,NAUKRI,-1%,"5,634.70","381,365"
48,L&t Technology Services Limited,LTTS,-1%,"4,417.90","435,024"
67,Pi Industries Limited,PIIND,-1%,"3,594.25","804,255"
199,Narayana Hrudayalaya Ltd.,NH,-1%,"1,165.50","506,380"
246,Aether Industries Ltd,AETHER,-1%,801.90,"96,710"
5,Bosch Limited,BOSCHLTD,-1%,"29,548.25","72,953"
371,V-guard Industries Limited,VGUARD,-1%,369.45,"697,529"
101,Ajanta Pharma Limited,AJANTPHARM,-2%,"2,290.85","151,120"
402,Campus Activewear Ltd,CAMPUS,-2%,271.00,"6,549,557"
109,Endurance Technologies Limited,ENDURANCE,-2%,"2,202.65","148,948"
160,Sun Pharmaceuticals Industries Limited,SUNPHARMA,-1.6%,"1,429.85","5,055,952"
136,Cyient Limited,CYIENT,-2%,"1,702.45","353,524"
243,Glenmark Life Sciences Ltd,GLS,-2%,825.95,"125,871"
313,Icici Prudential Life Insurance Company Limited,ICICIPRULI,-2%,542.90,"3,324,127"
198,GMM Pfaudler Ltd,GMMPFAUDLR,-2%,"1,194.50","213,519"
7,Shree Cements Limited,SHREECEM,-2%,"24,882.80","77,396"
124,Metropolis Healthcare Ltd,METROPOLIS,-2%,"1,889.35","223,682"
108,Tvs Motor Company Limited,TVSMOTOR,-2%,"2,211.45","1,169,349"
340,Sumitomo Chemical India Ltd,SUMICHEM,-2%,456.15,"1,134,743"
99,Ceat Limited,CEATLTD,-2%,"2,352.10","173,965"
63,Tube Investments of India Ltd,TIINDIA,-2%,"3,768.15","399,473"
159,Route Mobile Ltd,ROUTE,-1.9%,"1,432.80","66,643"
180,Clean Science & Technology Ltd,CLEAN,-2%,"1,278.35","156,441"
438,Zomato Ltd,ZOMATO,-2%,172.00,"75,272,859"
195,Sundram Fasteners Limited,SUNDRMFAST,-2%,"1,200.55","443,462"
133,Jb Chemicals & Pharmaceuticals Limited,JBCHEPHARM,-2%,"1,746.25","143,462"
186,Rainbow Childrens Medicare Ltd,RAINBOW,-2%,"1,256.00","135,522"
356,Fdc Limited,FDC,-2%,423.55,"167,926"
217,Tata Technologies Ltd,TATATECH,-2%,"1,013.45","1,738,234"
72,Persistent Systems Limited,PERSISTENT,-2%,"3,351.85","1,165,302"
276,Century Plyboards (india) Limited,CENTURYPLY,-2%,649.85,"195,148"
16,Sanofi India Limited,SANOFI,-2%,"8,588.20","21,647"
125,C.E. Info Systems Ltd,MAPMYINDIA,-2%,"1,882.80","119,339"
62,Escorts Limited,ESCORTS,-2%,"3,802.50","339,748"
264,Aegis Logistics Limited,AEGISCHEM,-2%,702.70,"1,335,076"
174,Bata India Limited,BATAINDIA,-2%,"1,337.20","810,262"
93,Mahindra & Mahindra Limited,M&M,-2%,"2,572.90","6,372,249"
163,Concord Biotech Ltd,CONCORDBIO,-2%,"1,413.00","115,463"
42,Alkem Laboratories Limited,ALKEM,-2%,"4,708.45","439,244"
23,Cera Sanitaryware Limited,CERA,-2%,"6,990.45","15,718"
398,Gujarat State Petronet Limited,GSPL,-2%,285.95,"3,228,659"
10,Maruti Suzuki India Limited,MARUTI,-2%,"12,176.05","825,928"
122,Safari Industries (India) Ltd,SAFARI,-2%,"1,905.10","71,874"
296,Birlasoft Ltd,BSOFT,-2%,598.60,"2,586,686"
196,Aurobindo Pharma Limited,AUROPHARMA,-2%,"1,197.35","1,434,945"
285,AU Small Finance Bank,AUBANK,-2%,628.75,"3,575,414"
95,Grindwell Norton Limited,GRINDWELL,-2%,"2,512.30","89,361"
252,Happiest Minds Technologies Ltd,HAPPSTMNDS,-3%,765.15,"606,961"
448,Devyani International Ltd,DEVYANI,-3%,149.10,"1,654,846"
74,The Phoenix Mills Limited,PHOENIXLTD,-3%,"3,257.70","845,890"
263,Medplus Health Services Ltd,MEDPLUS,-3%,703.65,"123,462"
116,Balaji Amines Limited,BALAMINES,-2.6%,"2,045.25","88,471"
249,Vijaya Diagnostic Centre Ltd,VIJAYA,-3%,787.50,"248,862"
127,Alkyl Amines Chemicals Limited,ALKYLAMINE,-3%,"1,841.65","48,725"
328,Star Health & Allied Insurance Company Ltd,STARHEALTH,-3%,499.70,"1,437,643"
45,Trent Limited,TRENT,-3%,"4,538.15","1,175,204"
176,Coromandel International Limited,COROMANDEL,-2.7%,"1,305.00","981,300"
228,Just Dial Limited,JUSTDIAL,-3%,921.00,"684,696"
146,Radico Khaitan Limited,RADICO,-3%,"1,572.10","275,620"
218,Zydus Lifesciences Ltd,ZYDUSLIFE,-3%,"1,003.60","3,058,666"
294,Archean Chemical Industries Ltd,ACI,-3%,600.25,"380,772"
316,HDFC Life Insurance Company Ltd,HDFCLIFE,-3%,534.45,"9,783,762"
55,Craftsman Automation Ltd,CRAFTSMAN,-3%,"4,158.15","125,334"
347,Vardhman Textiles Limited,VTL,-3%,447.10,"240,594"
476,SBFC Finance Ltd,SBFC,-3%,80.05,"2,356,639"
235,Intellect Design Arena Limited,INTELLECT,-3%,879.70,"775,960"
254,Jk Lakshmi Cement Limited,JKLAKSHMI,-3%,761.55,"225,808"
222,Natco Pharma Limited,NATCOPHARM,-3%,970.35,"1,464,608"
407,Kansai Nerolac Paints Limited,KANSAINER,-3%,262.30,"451,551"
98,Indiamart Intermesh Ltd,INDIAMART,-3%,"2,370.75","348,167"
323,CIE Automotive India Ltd,CIEINDIA,-3%,521.35,"738,069"
242,Cello World Ltd,CELLO,-3%,833.75,"214,861"
297,Prince Pipes & Fittings Ltd,PRINCEPIPE,-3%,594.85,"180,486"
369,Kalyan Jewellers India Ltd,KALYANKJIL,-3%,378.65,"1,884,318"
110,Srf Limited,SRF,-3%,"2,193.55","543,994"
25,Tata Elxsi Limited,TATAELXSI,-3%,"6,726.20","298,357"
429,Redington (india) Limited,REDINGTON,-3%,197.50,"2,416,443"
304,Asahi India Glass Limited,ASAHIINDIA,-3.2%,575.35,"130,383"
338,Latent View Analytics Ltd,LATENTVIEW,-3%,461.05,"385,510"
452,Piramal Pharma Ltd,PPLPHARMA,-3%,144.80,"8,914,511"
130,Gland Pharma Ltd,GLAND,-3%,"1,790.45","190,205"
363,Eih Limited,EIHOTEL,-3%,408.45,"1,085,869"
58,Kei Industries Limited,KEI,-3.3%,"4,068.90","401,664"
171,Voltas Limited,VOLTAS,-3%,"1,359.25","986,607"
175,Indigo Paints Ltd,INDIGOPNTS,-3%,"1,306.40","58,054"
342,Berger Paints (i) Limited,BERGEPAINT,-3%,455.70,"4,981,632"
154,Whirlpool Of India Limited,WHIRLPOOL,-3%,"1,463.65","117,163"
189,PB Fintech Ltd,POLICYBZR,-3%,"1,240.45","2,567,311"
408,Krbl Limited,KRBL,-3%,261.60,"792,195"
140,Muthoot Finance Limited,MUTHOOTFIN,-3%,"1,646.70","1,010,052"
162,Varun Beverages Limited,VBL,-3%,"1,413.40","2,579,466"
392,Aptus Value Housing Finance India Ltd,APTUS,-3%,300.70,"1,168,038"
460,Gujarat Ambuja Exports Limited,GAEL,-3%,135.35,"878,556"
190,Caplin Point Laboratories Limited,CAPLIPOINT,-4%,"1,240.40","110,213"
360,Itc Limited,ITC,-4%,415.20,"46,019,632"
21,Oracle Financial Services Software Limited,OFSS,-3.6%,"7,290.75","279,924"
248,Westlife Development Ltd,WESTLIFE,-3.7%,788.80,"40,330"
234,Max Financial Services Limited,MFSL,-4%,902.60,"2,635,250"
46,Eicher Motors Limited,EICHERMOT,-4%,"4,495.40","920,927"
173,SBI Life Insurance Company Ltd,SBILIFE,-4%,"1,338.85","3,277,433"
240,Uno Minda Ltd,UNOMINDA,-4%,844.75,"1,013,881"
283,Sona BLW Precision Forgings Ltd,SONACOMS,-3.8%,633.50,"2,563,435"
473,Restaurant Brands Asia Ltd,RBA,-4%,96.95,"1,677,681"
205,Metro Brands Ltd,METROBRAND,-4%,"1,106.00","98,560"
425,Sun Pharma Advanced Research Company Limited,SPARC,-4%,203.40,"980,348"
449,Prism Johnson Ltd,PRSMJOHNSN,-4%,147.95,"362,371"
272,SBI Cards & Payment Services Ltd,SBICARD,-4%,677.40,"3,672,395"
388,Finolex Industries Limited,FINPIPE,-4%,322.65,"4,122,053"
1,Mrf Limited,MRF,-4%,"121,903.20","19,731"
344,Sunteck Realty Limited,SUNTECK,-4%,453.55,"965,293"
326,Saregama India Limited,SAREGAMA,-4%,502.80,"811,334"
148,ICICI Lombard General Insurance Company Ltd,ICICIGI,-4%,"1,536.25","1,917,683"
444,FSN E-Commerce Ventures Ltd,NYKAA,-4%,156.80,"7,671,491"
184,CreditAccess Grameen Ltd,CREDITACC,-4%,"1,265.60","712,467"
225,Godawari Power And Ispat Limited,GPIL,-4%,940.10,"960,416"
60,Jk Cement Limited,JKCEMENT,-4%,"3,860.40","238,514"
303,Zensar Technologies Limited,ZENSARTECH,-4%,576.40,"1,048,690"
437,EPL Ltd,EPL,-4%,174.40,"714,060"
295,Aarti Industries Limited,AARTIIND,-4%,598.60,"1,876,722"
259,Anupam Rasayan India Ltd,ANURAS,-4%,740.60,"88,225"
31,Skf India Limited,SKFINDIA,-4%,"5,814.95","51,184"
167,KPIT Technologies Ltd,KPITTECH,-4%,"1,381.75","1,516,268"
4,3m India Limited,3MINDIA,-4%,"32,352.55","17,091"
353,Fortis Healthcare Limited,FORTIS,-4%,439.35,"1,061,126"
182,PVR Inox Ltd,PVRINOX,-4%,"1,270.45","683,741"
